Sentence,Label,query_len,num_words_query,no_single_qts,no_double_qts,no_punct,no_single_cmnt,no_mult_cmnt,no_space,no_perc,no_log_opt,no_arith,no_null,no_hexa,no_alpha,no_digit,len_of_chr_char_null,genuine_keywords
" the fdp spokesperson social youth-related affairs , fritz rã¶hrenbeck wants dig deeper ",0,88,12,0,0,2,0,0,13,0,0,1,0,0,71,0,0,0
" the sunday collection important postal service , especially case scheduled post ",0,81,11,0,0,1,0,0,12,0,0,0,0,0,68,0,0,0
" &quot; the company radically unacceptably cutting back , despite price increase letters january 2013 ",0,102,14,0,0,3,0,0,15,0,0,0,0,0,80,4,0,0
" thomas bittner , liberal party parliamentary group municipal association chairman , supporting fellow group members: &quot; what annoys , fact collection times changed cancelled quiet &quot; ",0,192,26,0,0,8,0,0,27,0,0,0,0,0,157,0,0,0
" in , postal service miles mark comes public accessibility ",0,59,9,0,0,1,0,0,10,0,0,0,0,0,48,0,0,0
" &quot; at least post boxes districts neuschloã rosengarten must still emptied sundays , &quot; said bittner rã¶hrenbeck unison ",0,129,18,0,0,5,0,0,19,0,0,0,0,0,101,0,0,0
 it also case town centre citizens particular mobile must also able access post box sunday collection foot ,0,107,17,0,0,0,0,0,18,0,0,0,0,0,89,0,0,0
" in town parliament , rã¶hrenbeck asked whether town council planning discussions postal service regarding matter ",0,114,15,0,0,1,0,0,16,0,0,0,0,0,95,0,0,0
 mayor erich maier responded postal service communicated lampertheim ,0,69,8,0,0,0,0,0,9,0,0,0,0,0,60,0,0,0
" to best knowledge , however , sunday collection hofheim ",0,57,9,0,0,2,0,0,10,0,0,0,0,0,45,0,0,0
 their party spoken favour privatisation ,0,41,5,0,0,0,0,0,6,0,0,0,0,0,35,0,0,0
" &quot; decisions made elsewhere , &quot; said maier ",0,53,8,0,0,5,0,0,9,0,0,0,0,0,39,0,0,0
" parents georgia teen died &apos; freak accident &apos; believe son murdered the parents georgia teenager , whose body found inside rolled-up wrestling mat high school gym , believe son murdered , family &apos;s attorney said thursday ",0,235,36,0,0,10,0,0,37,0,0,1,0,0,188,0,0,0
" kendrick johnson , valdosta , ga ",0,34,6,0,0,2,0,0,7,0,0,0,0,0,25,0,0,0
" , found jan ",0,13,3,0,0,1,0,0,4,0,0,0,0,0,8,0,0,0
 11 stuck upright mat propped behind bleachers inside high school gym ,0,70,11,0,0,0,0,0,12,0,0,0,0,0,56,2,0,0
" lowndes county sheriff &apos;s investigators concluded johnson died freak accident , 17-year-old &apos;s family disputes ",0,122,15,0,0,7,0,0,16,0,0,2,0,0,97,2,0,0
" &quot; they absolutely think son murdered , &quot; benjamin crump , attorney representing kenneth jacquelyn johnson , told foxnews",0,131,19,0,0,7,0,0,19,0,0,0,0,0,105,0,0,0
 they never believed died way sheriff concluded ,0,48,7,0,0,0,0,0,8,0,0,0,0,0,40,0,0,0
" &quot; they believe defies logic , laws physics well common sense , &quot; crump said ",0,87,15,0,0,6,0,0,16,0,0,0,0,0,65,0,0,0
 they think cover-up protect person people responsible son &apos;s death ,0,73,10,0,0,3,0,0,11,0,0,1,0,0,59,0,0,0
" &quot; they sent son school book-bag returned body bag , &quot; said ",0,70,12,0,0,6,0,0,13,0,0,1,0,0,51,0,0,0
 u,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
" attorney michael moore said thursday conducting formal investigation johnson &apos;s death , noting several key questions remain unanswered ",0,141,18,0,0,3,0,0,19,0,0,0,0,0,119,0,0,0
 what cause death ? was death result crime ? moore said press conference thursday afternoon ,0,92,15,0,0,2,0,0,16,0,0,0,0,0,74,0,0,0
 i follow facts wherever lead ,0,30,5,0,0,0,0,0,6,0,0,0,0,0,24,0,0,0
 my objective discovery truth ,0,30,4,0,0,0,0,0,5,0,0,0,0,0,25,0,0,0
" &quot; i opinion sufficient basis exists &quot; formal investigation , said ",0,77,11,0,0,5,0,0,12,0,0,0,0,0,60,0,0,0
 moore told reporters initial autopsy indicated johnson died result &quot; positional asphyxia ,0,95,12,0,0,2,0,0,13,0,0,0,0,0,80,0,0,0
" &quot; a second autopsy , however , listed different cause death , according moore ",0,84,14,0,0,5,0,0,15,0,0,0,0,0,64,0,0,0
" &quot; there several questions must answered confirmed , &quot; said ",0,70,10,0,0,5,0,0,11,0,0,0,0,0,54,0,0,0
 moore added uncovers sufficient evidence warrant criminal civil rights investigation death johnson ask fbi conduct ,0,116,15,0,0,0,0,0,16,0,0,0,0,0,100,0,0,0
 a representative lowndes county sheriff &apos;s office immediately available comment contacted thursday ,0,105,12,0,0,2,0,0,13,0,0,0,0,0,90,0,0,0
 a southern georgia judge wednesday ordered authorities release surveillance video investigators reviewed ,0,106,12,0,0,0,0,0,13,0,0,0,0,0,93,0,0,0
 the teenager &apos;s parents said hope video footage contain clues died ,0,73,11,0,0,2,0,0,12,0,0,0,0,0,59,0,0,0
" israeli warplanes attack target inside syria , official says israeli warplanes struck target inside syrian port city latakia thursday night , senior administration official confirms fox news ",0,192,27,0,0,2,0,0,28,0,0,0,0,0,162,0,0,0
" the official specify target , said least one ",0,46,8,0,0,1,0,0,9,0,0,0,0,0,36,0,0,0
 the associated press reports target russian-made sa-125 missiles ,0,66,8,0,0,2,0,0,9,0,0,2,0,0,52,3,0,0
 at least twice earlier year israel launched airstrikes shipments missiles inside syria ,0,88,12,0,0,0,0,0,13,0,0,0,0,0,75,0,0,0
 house fire helmbrechts: rescue services retrieve charred body the fire service called helmbrechts late thursday evening ,0,121,16,0,0,1,0,0,17,0,0,0,0,0,103,0,1,0
 a three-bedroom house district hof catches fire night ,0,55,8,0,0,1,0,0,9,0,0,1,0,0,45,0,0,0
 rescue workers retrieve charred body house ,0,44,6,0,0,0,0,0,7,0,0,0,0,0,37,0,1,0
" during fire helmbrechts , rescue services found charred body three-bedroom house ",0,82,11,0,0,2,0,0,12,0,0,1,0,0,68,0,1,0
" whether person living house yet unclear , said police spokesperson bayreuth ",0,77,11,0,0,1,0,0,12,0,0,0,0,0,64,0,0,0
" late thursday evening , fire broke ground floor house ",0,55,9,0,0,1,0,0,10,0,0,0,0,0,44,0,0,0
" when fire service arrived , flames already bursting window ",0,60,9,0,0,1,0,0,10,0,0,0,0,0,49,0,0,0
 rescue workers entered premises found body bedroom ,0,52,7,0,0,0,0,0,8,0,0,0,0,0,44,0,0,0
 this another bedroom completely burnt ,0,39,5,0,0,0,0,0,6,0,0,0,0,0,33,0,0,0
 the entire ground floor suffered damage ,0,41,6,0,0,0,0,0,7,0,0,0,0,0,34,0,0,0
" there residents home fire , continued police spokesperson ",0,59,8,0,0,1,0,0,9,0,0,0,0,0,49,0,0,0
" for time , house longer habitable ",0,35,6,0,0,1,0,0,7,0,0,0,0,0,27,0,0,0
 the precise cause fire initially unclear ,0,42,6,0,0,0,0,0,7,0,0,0,0,0,35,0,0,0
" an obama voter &apos;s cry despair i voted president obama twice , sharing hope possibility change he says obama worthy efforts thwarted gop obstructionism obstructionism &apos;t excuse obamacare website woes , drone attacks obama &apos;s 2008 campaign memoir sad reminder might nathaniel p",0,291,43,0,0,8,0,0,43,0,0,0,0,0,236,4,0,0
 morris second-year student harvard medical school ,0,51,6,0,0,1,0,0,7,0,0,1,0,0,43,0,0,0
 i &apos;m reading terribly sad book days ,0,42,7,0,0,2,0,0,8,0,0,0,0,0,32,0,0,0
" it &apos;s book i thought would uplift doldrums second-year medical school , renew sense hope ",0,95,15,0,0,4,0,0,16,0,0,1,0,0,75,0,0,0
" it &apos;s called &quot; the audacity win , &quot; &apos;s memoir barack obama &apos;s 2008 presidential campaign ",0,115,17,0,0,11,0,0,18,0,0,0,0,0,82,4,0,0
" when i &apos;m finished patient write-ups night get bed , book returns time politics inspired millions speeches could take breath away ",0,136,21,0,0,4,0,0,22,0,0,1,0,0,110,0,0,0
" the election turned landslide , news anchors paused reflect historic nature hour ",0,82,12,0,0,1,0,0,13,0,0,0,0,0,68,0,0,0
" my classmates cried joy , parents saved every newspaper could find ",0,68,11,0,0,1,0,0,12,0,0,0,0,0,55,0,0,0
" a young team visionaries headed white house , nation ready change ",0,67,11,0,0,1,0,0,12,0,0,0,0,0,54,0,0,0
" during obama &apos;s transition office 2008 , 82% approval rating ",0,67,10,0,0,4,0,0,11,1,0,0,0,0,46,6,0,0
 and i close book ,0,18,4,0,0,0,0,0,5,0,1,0,0,0,13,0,0,0
" cutting present rude awakening , like snapping dream ",0,54,8,0,0,1,0,0,9,0,0,0,0,0,44,0,0,0
" it &apos;s hard remember days optimism -- seem distant memory , sad reminder opportunities gone ",0,97,15,0,0,5,1,0,16,0,0,2,0,0,76,0,0,0
" change indeed happened , years since i cast first ballot ",0,58,10,0,0,1,0,0,11,0,0,0,0,0,46,0,0,0
 it simply nothing i could imagined ,0,36,6,0,0,0,0,0,7,0,0,0,0,0,29,0,0,0
" i credit obama great varied accomplishments , passage affordable care act military exit iraq , end &quot; &apos;t ask &apos;t tell , &quot; killing osama bin laden ",0,165,27,0,0,11,0,0,28,0,0,0,0,0,126,0,0,0
" moreover , i believe partisan obstructionism upended many efforts push nation forward: immigration reform , public option health care , closing base guantanamo bay , among others ",0,180,27,0,0,5,0,0,28,0,0,0,0,0,147,0,0,0
" but , countless times i found defending obama administration colleagues peers , i &apos;ve reached limit explanations i provide ",0,129,19,0,0,4,0,0,20,0,0,0,0,0,105,0,0,0
 i &apos;ve reached point political despair ,0,44,6,0,0,2,0,0,7,0,0,0,0,0,35,0,0,0
" republican obstructionism cannot explain allowing bugging foreign leaders , drones strike innocent children overseas ",0,118,14,0,0,1,0,0,15,0,0,0,0,0,102,0,0,0
" it cannot explain national security agency collect data private lives americans , prosecuting whistle-blowers reveal government wrongdoing ",0,140,17,0,0,2,0,0,18,0,0,1,0,0,120,0,0,0
" it cannot account assassinating anwar al-awlaki , american citizen , without trial , shirking public funding spending limits presidential campaigns ",0,149,20,0,0,4,0,0,21,0,0,1,0,0,124,0,0,0
 it cannot justify findings report says white house &apos;s efforts silence media &quot; aggressive ,0,100,14,0,0,4,0,0,15,0,0,0,0,0,81,0,0,0
 since nixon administration ,0,28,3,0,0,0,0,0,4,0,0,0,0,0,24,0,0,0
" &quot; and , recently , cannot excuse failure design simple website three years since affordable care act signed law ",0,118,19,0,0,4,0,0,20,0,1,0,0,0,94,0,0,0
 i &apos;t know i expected ,0,27,5,0,0,2,0,0,6,0,0,0,0,0,19,0,0,0
" if , 18 years old , i supposed figure governance may contradict political campaigns precede ",0,93,15,0,0,2,0,0,16,0,0,0,0,0,73,2,0,0
" obviously , elective office &apos;t predictable course , opposing political party random events , newtown massacre , shape public conversation ",0,144,20,0,0,6,0,0,21,0,0,0,0,0,117,0,0,0
" yet , examples i listed , largely seem administration &apos;s choosing ",0,72,11,0,0,4,0,0,12,0,0,0,0,0,56,0,0,0
 that troubles ,0,15,2,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0
" i voted obama 2012 , i excited candidacy ",0,42,8,0,0,1,0,0,9,0,0,0,0,0,28,4,0,0
 mitt romney presented confusing unrefined alternative could seem lock policies positions ,0,90,11,0,0,0,0,0,12,0,0,0,0,0,78,0,0,0
" i felt second term obama , free pressures future elections , would fulfill hope heard long ",0,92,16,0,0,2,0,0,17,0,0,0,0,0,73,0,0,0
" still , obama &apos;s approval rating sank 45% week , returning 2008 book become much harder ",0,94,16,0,0,5,0,0,17,1,0,0,0,0,66,6,0,0
 it makes yearn many promises disappeared ,0,42,6,0,0,0,0,0,7,0,0,0,0,0,35,0,0,0
 this week i reading portion book describing obama suffered huge loss clinton pennsylvania primary ,0,99,14,0,0,0,0,0,15,0,0,0,0,0,84,0,0,0
" at post-mortem campaign meeting , told staff needed get back track stay true purpose cause ",0,92,15,0,0,2,0,0,16,0,0,1,0,0,74,0,0,0
" &quot; i want us get mojo back , &quot; said ",0,46,10,0,0,5,0,0,11,0,0,0,0,0,30,0,0,0
 we &apos;ve got remember ,0,26,4,0,0,2,0,0,5,0,0,0,0,0,19,0,0,0
" &apos; it &apos;s five years later , mr",0,40,8,0,0,5,0,0,8,0,0,0,0,0,27,0,0,0
" president , i &apos;t agree ",0,29,5,0,0,3,0,0,6,0,0,0,0,0,20,0,0,0
 the opinions expressed commentary solely nathaniel morris ,0,59,7,0,0,0,0,0,8,0,0,0,0,0,51,0,0,0
" even though sg achim / baden gone four match days without victory , positive mood still prevailing within top flight handball team ",0,132,22,0,0,2,0,0,23,0,0,1,0,0,107,0,0,1
 trainer tomasz malmon let doubt fact ,0,38,6,0,0,0,0,0,7,0,0,0,0,0,31,0,0,0
 everyone still fully motivated task hand ,0,42,6,0,0,0,0,0,7,0,0,0,0,0,35,0,0,0
" that said , i hope finally start winning ",0,42,8,0,0,1,0,0,9,0,0,0,0,0,32,0,0,0
" &quot; i longer remember victory like tastes , &quot; said malmon , anticipating success team vfl fredenbeck ii ",0,113,18,0,0,6,0,0,19,0,0,0,0,0,88,0,0,0
" even though third-tier reserves fredenbeck &apos;t exactly best form moment , malmon issued warning advance i trained many players a-youth ",0,140,20,0,0,5,0,0,21,0,0,2,0,0,114,0,0,0
" consequently , particularly motivated playing former coach ",0,60,7,0,0,1,0,0,8,0,0,0,0,0,51,0,0,0
" &quot; in addition , wait see whether reinforcements first team , &quot; explained sg coach ",0,93,15,0,0,6,0,0,16,0,0,0,0,0,71,0,0,0
" in case , finally get back winning track , malmon &apos;s team improve recent performances ",0,92,15,0,0,4,0,0,16,0,0,0,0,0,72,0,0,0
" there major problems , primarily terms covering counter attacking ",0,67,9,0,0,1,0,0,10,0,0,0,0,0,56,0,0,0
 the team &apos;s eye goal must considerably improved ,0,54,8,0,0,2,0,0,9,0,0,0,0,0,43,0,0,0
" therefore , i hope players finally managed clear heads short break ",0,68,11,0,0,1,0,0,12,0,0,0,0,0,55,0,0,0
" gutach: increased safety pedestrians they even 100 metres apart: on tuesday , new b 33 pedestrian lights dorfparkplatz gutach became operational - within view existing town hall traffic lights ",0,194,29,0,0,4,0,0,30,0,0,1,0,0,155,5,0,0
" two sets lights close one another: intentional silly error ? yesterday , gutacht &apos;s mayor gave clear answer question ",0,123,19,0,0,5,0,0,20,0,0,0,0,0,98,0,0,0
" &quot; at time , town hall traffic lights installed school route , &quot; explained eckert yesterday ",0,102,16,0,0,6,0,0,17,0,0,0,0,0,79,0,0,0
" the kluser lights protect cyclists , well travelling bus residents bergle ",0,75,11,0,0,1,0,0,12,0,0,0,0,0,62,0,0,0
" the system , officially became operational yesterday , importance sulzbachweg / kirchstrasse junction ",0,103,13,0,0,3,0,0,14,0,0,1,0,0,86,0,0,0
" we museum , two churches , spa gardens , bus stop , doctor &apos;s practice bank , mention traffic &apos; grub &apos; residential area ",0,136,24,0,0,11,0,0,25,0,0,0,0,0,100,0,0,0
" &quot; at times high road pedestrian traffic , additional set lights required ensure safety , &quot; said eckert ",0,114,18,0,0,6,0,0,19,0,0,0,0,0,89,0,0,0
 this also confirmed peter arnold offenburg district office ,0,60,8,0,0,0,0,0,9,0,0,0,0,0,51,0,0,0
" &quot; according current measurements , around 12,000 vehicles travel town gutach b33 daily basis , heavy goods traffic accounts around ten per cent , &quot; emphasised arnold ",0,177,27,0,0,8,0,0,28,0,0,0,0,0,134,7,0,0
" therefore construction additional set lights necessary: &quot; here safety comes first , &apos;s simple , &quot; said arnold ",0,126,18,0,0,9,0,0,19,0,0,0,0,0,98,0,0,0
" a total four road safety inspections carried roundabout also considered , however , idea rejected account narrowness sulzbachweg / kirchstrasse junctions ",0,155,21,0,0,3,0,0,22,0,0,1,0,0,130,0,0,0
" according arnold , every possible test carried prior selection location traffic light posts: &quot; using goods vehicle loaded particularly long tree trunks , also tested whether vehicles could access b 33 sulzbachweg without knocking traffic light posts &quot; ",0,263,38,0,0,7,0,0,39,0,0,0,0,0,215,2,0,0
" the traffic light system , cost around eur 15,000 , &quot; modern system currently available market , &quot; explained arnold ",0,127,20,0,0,8,0,0,21,0,0,0,0,0,93,5,0,0
" the system fitted coloured leds , bright enough drivers easily see lights , even sun low sky ",0,94,17,0,0,2,0,0,18,0,0,0,0,0,74,0,0,0
" and also energy-efficient: the older light systems consume around 100 watts , new ones consuming eight ",0,104,16,0,0,3,0,0,17,0,1,1,0,0,81,3,0,0
 there three sets lights per direction travel ,0,46,7,0,0,0,0,0,8,0,0,0,0,0,38,0,0,0
 arnold explained technology used new system: it fitted two radar sensors ,0,74,11,0,0,1,0,0,12,0,0,0,0,0,61,0,0,0
" if pedestrian presses button traffic lights , top radar sensor checks traffic status ",0,86,13,0,0,1,0,0,14,0,0,0,0,0,71,0,0,1
" if street clear , pedestrian obtains green light immediately , , delay around 15 seconds ",0,90,15,0,0,3,0,0,16,0,0,0,0,0,69,2,0,0
 an additional radar sensor checks whether green phase pedestrian ended ,0,72,10,0,0,0,0,0,11,0,0,0,0,0,61,0,0,0
" &quot; if group people disabled persons crossing street , green phase extended , thus ensuring everyone gets safely across street , &quot; explained arnold ",0,157,24,0,0,7,0,0,25,0,0,0,0,0,125,0,0,0
" of course , drivers must also play part keep eyes road ",0,56,11,0,0,1,0,0,12,0,0,0,0,0,43,0,0,0
 yesterday case: the light barely turned green pedestrians luxury vehicle sped red light ,0,89,13,0,0,1,0,0,14,0,0,0,0,0,74,0,0,0
 fancy glow-in-the-dark ice cream ? a british entrepreneur created world &apos;s first glow-in-the-dark ice cream - using jellyfish ,0,132,18,0,0,10,0,0,19,0,0,7,0,0,103,0,0,0
 charlie francis harnessed fluorescent properties marine animal develop luminescent snack ,0,90,10,0,0,0,0,0,11,0,0,0,0,0,79,0,1,0
 he came idea reading research paper jellyfish convinced scientists china chemically recreate glowing protein ,0,110,14,0,0,0,0,0,15,0,0,0,0,0,95,0,0,0
 the ice cream reacts eater &apos;s tongue - raising ph level protein making glow ,0,82,14,0,0,3,0,0,15,0,0,1,0,0,64,0,0,0
" chris says ice cream lights reacts heat mouth means lick , brighter becomes ",0,77,13,0,0,1,0,0,14,0,0,0,0,0,62,0,1,0
" charlie , founder &quot; lick me i &apos;m delicious &quot; ice cream company , said: &quot; it incredible stuff still early days terms production , â£ 200 gets 2g stuff ",0,171,30,0,0,12,0,0,31,0,0,0,0,0,122,4,1,0
 &quot; the protein using ice cream reacts tongue neutral ph ,0,61,10,0,0,2,0,0,11,0,0,0,0,0,48,0,0,0
 so mouth warms protein raise ph level ice cream glow ,0,54,10,0,0,0,0,0,11,0,0,0,0,0,43,0,0,0
 we testing past months seemed perfect share halloween gives wonderful glow effect ,0,83,12,0,0,0,0,0,13,0,0,0,0,0,70,0,0,0
 it probably expensive ice cream i made jellyfish luminescence four times expensive gold ,0,89,13,0,0,0,0,0,14,0,0,0,0,0,75,0,0,0
 so scoop costs around â£ 140 ,0,30,6,0,0,0,0,0,7,0,0,0,0,0,18,3,0,0
 it tastes pretty good though ,0,30,5,0,0,0,0,0,6,0,0,0,0,0,24,0,0,0
" charlie &apos;s experimental company , based bristol , famed unusual flavours including beer , cheese , beef gold leaf ",0,120,19,0,0,6,0,0,20,0,0,0,0,0,94,0,1,0
 but next creation set even ambitious ,0,38,6,0,0,0,0,0,7,0,0,0,0,0,31,0,0,0
 he said: &quot; i really want develop invisible ice cream ,0,59,10,0,0,3,0,0,11,0,0,0,0,0,45,0,0,0
" &quot; it inherently impossible refraction caused ice crystals make ice cream , i reckon find way ",0,99,16,0,0,3,0,0,17,0,0,0,0,0,79,0,0,0
" the ice cream harnesses fluorescent properties jellyfish , synthesized chinese scientists freudenstadt: quick moves take hosts surprise with slender squad , tsv freudenstadt herren i team (men &apos;s first team) stepped schiller school gymnasium reutlingen face tg gã¶nningen swabian alb region ",0,297,41,0,0,7,0,0,42,0,0,0,0,0,246,0,0,0
 the alb men stood side net undoubtedly experienced team ,0,57,9,0,0,0,0,0,10,0,0,0,0,0,47,0,0,0
" however , soon became evident , due part age , could really keep fast pace freudenstadt team ",0,94,17,0,0,3,0,0,18,0,0,0,0,0,73,0,0,0
 gã¶nningen found extremely difficult cope hard well-positioned offensive moves ,0,80,9,0,0,1,0,0,10,0,0,1,0,0,67,0,0,0
 they repeatedly missed passes attacks coming cleanly net simon schenk eduard schulz blocking game scratch ,0,107,15,0,0,0,0,0,16,0,0,0,0,0,91,0,0,0
 clear victories first two sets clearly demonstrated superiority freudenstadt team areas ,0,89,11,0,0,0,0,0,12,0,0,0,0,0,77,0,0,0
" faced overwhelming match-determining performance , third set following somewhat tame spiritless performance , final score 3: 0 (25: 13 , 25: 14 , 25: 22)",0,154,25,0,0,11,0,0,25,0,0,1,0,0,104,14,0,0
" on 2 november , play tv baiersbronn , managed clear victory nagold , step onto court face much stronger opponent ",0,114,20,0,0,3,0,0,21,0,0,0,0,0,89,1,0,0
" tsv freudenstadt i: dominik bã¤uerle , yannik bã¼chle , sebastian dã¶lker , felix pã¤lchen , stefan rã¤ller , simon schenk eduard schulz ",0,138,22,0,0,6,0,0,23,0,0,0,0,0,99,0,0,0
" in b class , two teams baiersbronn freudenstadt faced murgtalhalle baiersbronn ",0,80,11,0,0,1,0,0,12,0,0,0,0,0,67,0,0,0
 they produced hard-fought two-hour match ,0,42,5,0,0,2,0,0,6,0,0,2,0,0,34,0,0,0
" nerves sides , particularly receiving ball , resulted errors lost points; even lack passing times critical moments overeagerness saw potential points wasted ",0,158,22,0,0,3,0,0,23,0,0,0,0,0,132,0,0,0
" however , evenly matched game , great physical effort marcus blasutto &apos;s tsv team proved decisive spite tremendous commitment teams ",0,138,20,0,0,4,0,0,21,0,0,0,0,0,113,0,0,0
" coulson used phone hacking verify tip former news world editor andy coulson allegedly used &quot; phone hacking , surveillance confrontation &quot; attempt confirm bogus tip affair involving then-home secretary charles clarke ",0,227,31,0,0,6,0,0,32,0,0,1,0,0,189,0,1,0
" prosecutor andrew edis qc told old bailey news world heard false rumour may 2005 clarke seeing &quot; attractive special adviser , &quot; hannah pawlby ",0,153,24,0,0,5,0,0,25,0,0,0,0,0,119,4,0,0
" the newspaper tasked private investigator glenn mulcaire hacking pawlby &apos;s voicemails &quot; door-stepped &quot; , coulson also called left voicemails , court heard ",0,171,23,0,0,9,0,0,24,0,0,1,0,0,138,0,0,0
" &quot; the prosecution suggests mr coulson , editor notw , man stands outside people &apos;s houses hoping catch , man likes put story people see say , &quot; mr edis said ",0,173,31,0,0,10,0,0,32,0,0,0,0,0,131,0,0,0
" he said notw used three ways investigate stories: phone hacking , surveillance , confrontation ",0,96,14,0,0,3,0,0,15,0,0,0,0,0,78,0,0,0
 the editor personally involved third ,0,38,5,0,0,0,0,0,6,0,0,0,0,0,32,0,0,0
" obviously knows second , surveillance , must ",0,46,7,0,0,2,0,0,8,0,0,0,0,0,36,0,0,0
" what first ? does know phone hacking ? he says &apos;t , say &quot; oh yes , &quot; ",0,85,18,0,0,10,0,0,19,0,0,0,0,0,56,0,0,0
" rumours affair involving clarke first picked notw &apos;s features desk source sexually interested ms pawlby told: &quot; don &apos;t bother wasting time , &apos;s charles ",0,173,25,0,0,10,0,0,26,0,0,0,0,0,137,0,1,0
 &quot; a tape voicemails taken phone least three occasions seized mulcaire &apos;s home august 2006 ,0,101,15,0,0,4,0,0,16,0,0,0,0,0,77,4,0,0
 investigators also found entries private investigator &apos;s computer ms pawlby sister &quot; projects ,0,105,13,0,0,4,0,0,14,0,0,0,0,0,87,0,0,0
" &quot; during period investigated , ms pawlby &apos;s grandparents received anonymous calls asking information , mr edis said ",0,127,18,0,0,6,0,0,19,0,0,0,0,0,102,0,0,0
" meanwhile , former chief reporter neville thurlbeck former reporter james weatherup oversaw surveillance ms pawlby &apos;s movements ",0,134,17,0,0,3,0,0,18,0,0,0,0,0,113,0,0,0
" leaving voicemail june 18 2005 , coulson told her: &quot; i &apos;ve got story &apos;re planning run tomorrow i really would like speak charles ",0,145,24,0,0,8,0,0,25,0,0,0,0,0,106,6,1,0
" &quot; mr edis said coulson &apos;s involvement story followed pattern important men , former home secretary david blunkett ",0,125,18,0,0,5,0,0,19,0,0,0,0,0,101,0,0,0
" the jury heard thursday coulson confronted mr blunkett affair married woman seeing co-defendant rebekah brooks , married time ",0,127,18,0,0,2,0,0,19,0,0,1,0,0,106,0,0,0
 coulson brooks deny conspiring others hack phones october 3 2000 august 9 2006 ,0,80,13,0,0,0,0,0,14,0,0,0,0,0,56,10,0,0
" mulcaire , thurlbeck weatherup admitted phone hacking ",0,55,7,0,0,1,0,0,8,0,0,0,0,0,46,0,0,0
" geislingen: more 100 young catholics kleiner heuberg stand together confirmation profession faith in two services , 101 15 16-year-olds am kleinen heuberg pastoral care unit confirmed ",0,185,26,0,0,4,0,0,27,0,0,2,0,0,144,10,0,0
" in morning , service accompanied laudato-si group , afternoon service featured &apos; the spirit &apos; youth choir ",0,117,17,0,0,7,0,0,18,0,0,1,0,0,92,0,0,0
" upon receiving confirmation sacrament , young people accepted baptism asked power holy spirit ",0,95,13,0,0,1,0,0,14,0,0,0,0,0,80,0,0,0
" over recent months confirmed , direction deacon reiner dehner assistance several church members , preparing special day ",0,121,17,0,0,2,0,0,18,0,0,0,0,0,101,0,0,0
" in various projects , learned different tasks involved christian church life attended youth day untermachtal together ",0,119,16,0,0,1,0,0,17,0,0,0,0,0,101,0,1,0
 gm recalls new pickup trucks u,0,31,6,0,0,0,0,0,6,0,0,0,0,0,25,0,0,0
" fix seatbacks general motors co recalling nearly 19,000 all-new 2014 chevrolet silverado gmc sierra pickup trucks repair problem manual reclining seatback , according notice u",0,176,25,0,0,3,0,0,25,0,0,1,0,0,139,9,0,0
 auto safety regulators friday ,0,31,4,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0
" on trucks , front seats may defect reclining mechanism ",0,56,9,0,0,1,0,0,10,0,0,0,0,0,45,0,0,0
" as result , seatbacks fail comply federal auto safety standards head restraints ",0,81,12,0,0,1,0,0,13,0,0,0,0,0,67,0,0,0
" &quot; if vehicle struck behind , head restraint may properly protect occupants , increasing risk injury , &quot; according notice posted national highway traffic safety administration website ",0,194,27,0,0,7,0,0,28,0,0,0,0,0,159,0,0,0
 the recalled models built august 1 september 10 ,0,49,8,0,0,0,0,0,9,0,0,0,0,0,37,3,0,0
 gm &apos;s truck roll-out began june represents important vehicle launch no,0,76,11,0,0,3,0,0,11,0,0,1,0,0,62,0,0,0
 1 u,0,4,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
 automaker since 2009 bankruptcy restructuring ,0,47,5,0,0,0,0,0,6,0,0,0,0,0,37,4,0,0
 gm told truck owners defect first half october ,0,48,8,0,0,0,0,0,9,0,0,0,0,0,39,0,0,0
" nhtsa could review owner notification letter due 16-day government shutdown , tempered auto sales growth october ",0,114,16,0,0,2,0,0,17,0,0,1,0,0,93,2,0,0
" sales silverado sierra trucks , redesigned 2014 model year , 20 percent first 10 months year , gm said friday ",0,111,20,0,0,3,0,0,21,0,0,0,0,0,79,8,0,0
" in october , gm sold 42,660 silverado 16,503 sierra pickup trucks ",0,67,11,0,0,3,0,0,12,0,0,0,0,0,42,10,0,0
 gm shares 1,0,12,3,0,0,0,0,0,3,0,0,0,0,0,8,1,0,0
4 percent $ 37,0,14,4,0,0,1,0,0,3,0,0,0,0,0,7,3,0,0
47 new york stock exchange friday afternoon ,0,44,7,0,0,0,0,0,7,0,0,0,0,0,35,2,0,0
" un hails new goals tackle poverty the united nations start work immediately new set goals replace millennium development goals , put place 12 years ago tackle global poverty ",0,175,28,0,0,1,0,0,29,0,0,0,0,0,143,2,0,0
" australian diplomats played key role pushing &quot; sustainable development goals &quot; replace mdgs , expire 2015 , ahead un sustainable development summit began rio de janeiro overnight ",0,190,27,0,0,6,0,0,28,0,0,0,0,0,152,4,0,0
" they included final draft document , endorsed world leaders including ms gillard summit ",0,89,13,0,0,1,0,0,14,0,0,0,0,0,74,0,0,0
